Period Name,Position,Total Duration,Total Distance,Meterage Per Minute,HSD,VHSD,VHSD Relative,Sprint Distance,Velocity B7+ Total # Efforts (Gen 2) (Set 2),Maximum Velocity,Acceleration B2-3 Total Efforts (Gen 2),Deceleration B2-3 Total Efforts (Gen 2),Acceleration B3 Efforts (Gen 2),Deceleration B3 Distance (Gen 2),Max Acceleration,Max Deceleration,Acceleration Density,Total Acceleration Load,Running Imbalance,Total IMA,RHIE Total Bouts,Meta Energy (KJ/kg),HSD Per Minute,VHSD Per Minute,Sprint Distance Per Minute,RHIE Bouts Per Minute,Meta Energy (kj/kg) Per Minute,HI Accels Per Minute,VHI Accels Per Minute
Static Skills,Service,0 days 00:20:17,935.84445,46.13707556,11.92,0.662222222,0,0,0,5.07195,3.666666667,0.444444444,0.111111111,0.113333333,3.259845556,-2.472047778,0.35316,429.8110767,0.939454444,26.77777778,6.555555556,4.349927778,0.009794444,0.000544444,0,0.005386667,0.000853333,0.003012222,9.11E-05
Static Titan Eagle,Edges,0 days 00:10:51,569.729598,52.43795,112.102,1.608,11.3,0,0,6.979602,8.2,0.2,0.6,0,3.962286,-2.481392,0.35382,230.650928,0.076854,0.6,1,3.049394,0.171966,0.002466,0,0.001534,0.001118,0.012578,0.00092
Static Titan Eagle,Middles,0 days 00:10:51,520.0654922,47.86686222,16.48666667,0,0.726666667,0,0,6.117347778,6.111111111,0.555555556,0.222222222,0,3.858208889,-2.700465556,0.333424444,217.3556456,0.875002222,0.777777778,0.444444444,2.606411111,0.02529,0,0,0.000682222,0.000954444,0.009375556,0.00034
Static Titan Eagle,Outside Backs,0 days 00:10:51,641.7252511,59.06443667,108.9666667,9.901111111,6,0,0,7.160231111,4.111111111,0,0.222222222,0,3.403013333,-2.172831111,0.321985556,209.8994111,0.327903333,0.888888889,1.777777778,3.227191111,0.167155556,0.015188889,0,0.002727778,0.001184444,0.006307778,0.00034
Static Titan Eagle,Service,0 days 00:10:51,563.2739511,51.84377222,31.20222222,1.9,0,0,0,5.787505556,7.666666667,1.111111111,0.555555556,0.096666667,3.631828889,-2.966782222,0.357187778,232.8471322,0.724632222,1,1,2.882892222,0.047864444,0.002914444,0,0.001533333,0.001055556,0.011761111,0.000852222
Static Transition Education,Edges,0 days 00:11:18.333333333,592.7228167,52.3813,69.76,4.54,14.91666667,0,0,7.130576667,3.333333333,4.666666667,0,0.056666667,3.666576667,-3.761043333,0.31265,212.3659667,0,0,0,3.084676667,0.102613333,0.006643333,0,0,0.001083333,0.0049,0
Static Transition Education,Middles,0 days 00:11:16,628.6710225,55.7881625,30.8525,1.5475,12.695,0,0,6.6875675,8.5,5.25,0.5,0.0375,3.8547975,-3.9440375,0.3658775,247.437705,0,0.5,0.25,3.315735,0.04581,0.0023125,0,0.000365,0.0011725,0.0125575,0.00073
Static Transition Education,Outside Backs,0 days 00:11:16,625.462005,55.50511,101.35,32.675,26.045,0,0,8.209775,4.5,5.5,0.5,0.905,3.623675,-4.451695,0.341455,230.5917,-0.315925,0,2,3.305975,0.14996,0.04845,0,0.00297,0.00117,0.00668,0.000745
Static Transition Education,Service,0 days 00:13:31.200000,860.684216,63.295848,25.512,1.086,1.644,0,0,6.211302,3.6,1.2,0,0.022,3.658016,-2.958292,0.343776,278.11919,0.77112,0.6,0.2,4.184576,0.035954,0.001624,0,0.000298,0.001228,0.004452,0
Straight Line Running,Edges,0 days 00:10:37,842.04456,79.19038,274.53,0,0,0,0,6.68297,10,6,1,0,4.0864,-3.70519,0.21277,135.74265,-1.11434,0,5,4.06795,0.4303,0,0,0.00784,0.00152,0.01567,0.00157
Straight Line Running,Service,0 days 00:10:37,917.19617,86.25804,34.01,0,0,0,0,5.768,2,1,0,0,2.86384,-3.06762,0.22249,141.94546,2.05636,0,3,4.21234,0.05331,0,0,0.0047,0.00158,0.00313,0
Strike,Outside Backs,0 days 00:03:20,113.9866963,34.19600875,0,0,0,0,0,2.49610625,0,0,0,0,1.27201375,-1.11982875,0.29759125,59.51826375,0,0.625,0,0.49061,0,0,0,0,0.00058625,0,0
Strike,Service,0 days 00:03:20,140.424786,42.127436,4.874,0,0,0,0,3.067766,1.4,1,0.4,0.026,1.55031,-1.524706,0.324482,64.89595,0,0.2,0.2,0.674384,0.02437,0,0,0.001,0.000802,0.007,0.002
Strike,Unknown,0 days 00:03:20,131.53906,39.46172,0,0,0,0,0,3.59665,0,0,0,0,2.33697,-1.98924,0.36086,72.17147,0,1,0,0.57774,0,0,0,0,0.00069,0,0
